Seção;Subclasse;Denominação
H;4923-0/01;Serviço de táxi
H;4923-0/02;Serviço de transporte de passageiros - locação de automóveis com motorista
H;4924-8/00;Transporte escolar
H;4929-9/01;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, municipal
H;4929-9/02;Transporte rodoviário coletivo de passageiros, sob regime de fretamento, intermunicipal, interestadual e internacional
H;4929-9/03;Organização de excursões em veículos rodoviários próprios, municipal
H;4929-9/04;Organização de excursões em veículos rodoviários próprios, intermunicipal, interestadual e internacional
H;4929-9/99;Outros transportes rodoviários de passageiros não especificados anteriormente
H;4930-2/01;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, municipal
H;4930-2/02;Transporte rodoviário de carga, exceto produtos perigosos e mudanças, intermunicipal, interestadual e internacional
H;4930-2/03;Transporte rodoviário de produtos perigosos
H;4930-2/04;Transporte rodoviário de mudanças
H;4940-0/00;Transporte dutoviário
H;4950-7/00;Trens turísticos, teleféricos e similares
H;5011-4/01;Transporte marítimo de cabotagem - Carga
H;5011-4/02;Transporte marítimo de cabotagem - passageiros
H;5012-2/01;Transporte marítimo de longo curso - Carga
H;5012-2/02;Transporte marítimo de longo curso - Passageiros
H;5021-1/01;Transporte por navegação interior de carga, municipal, exceto travessia
H;5021-1/02;Transporte por navegação interior de carga, intermunicipal, interestadual e internacional, exceto travessia
H;5022-0/01;Transporte por navegação interior de passageiros em linhas regulares, municipal, exceto travessia
H;5022-0/02;Transporte por navegação interior de passageiros em linhas regulares, intermunicipal, interestadual e internacional, exceto travessia
H;5030-1/01;Navegação de apoio marítimo
H;5030-1/02;Navegação de apoio portuário
H;5091-2/01;Transporte por navegação de travessia, municipal
H;5091-2/02;Transporte por navegação de travessia, intermunicipal
H;5099-8/01;Transporte aquaviário para passeios turísticos
H;5099-8/99;Outros transportes aquaviários não especificados anteriormente
H;5111-1/00;Transporte aéreo de passageiros regular
H;5112-9/01;Serviço de táxi aéreo e locação de aeronaves com tripulação
H;5112-9/99;Outros serviços de transporte aéreo de passageiros não-regular
H;5120-0/00;Transporte aéreo de carga
H;5130-7/00;Transporte espacial
H;5211-7/01;Armazéns gerais - emissão de warrant
H;5211-7/02;Guarda-móveis
H;5211-7/99;Depósitos de mercadorias para terceiros, exceto armazéns gerais e guarda-móveis
H;5212-5/00;Carga e descarga
H;5221-4/00;Concessionárias de rodovias, pontes, túneis e serviços relacionados
H;5222-2/00;Terminais rodoviários e ferroviários
H;5223-1/00;Estacionamento de veículos
H;5229-0/01;Serviços de apoio ao transporte por táxi, inclusive centrais de chamada
H;5229-0/02;Serviços de reboque de veículos
H;5229-0/99;Outras atividades auxiliares dos transportes terrestres não especificadas anteriormente
H;5231-1/01;Administração da infra-estrutura portuária
H;5231-1/02;Operações de terminais
H;5232-0/00;Atividades de agenciamento marítimo
H;5239-7/00;Atividades auxiliares dos transportes aquaviários não especificadas anteriormente
H;5240-1/01;Operação dos aeroportos e campos de aterrissagem
H;5240-1/99;Atividades auxiliares dos transportes aéreos, exceto operação dos aeroportos e campos de aterrissagem
H;5250-8/01;Comissaria de despachos
H;5250-8/02;Atividades de despachantes aduaneiros
H;5250-8/03;Agenciamento de cargas, exceto para o transporte marítimo
H;5250-8/04;Organização logística do transporte de carga
H;5250-8/05;Operador de transporte multimodal - OTM
H;5310-5/01;Atividades do Correio Nacional
H;5310-5/02;Atividades de franqueadas e permissionárias do Correio Nacional
H;5320-2/01;Serviços de malote não realizados pelo Correio Nacional
H;5320-2/02;Serviços de entrega rápida
I;5510-8/01;Hotéis
I;5510-8/02;Apart-hotéis
I;5510-8/03;Motéis
I;5590-6/01;Albergues, exceto assistenciais
I;5590-6/02;Campings
I;5590-6/03;Pensões (alojamento)
I;5590-6/99;Outros alojamentos não especificados anteriormente
I;5611-2/01;Restaurantes e similares
I;5611-2/02;Bares e outros estabelecimentos especializados em servir bebidas
I;5611-2/03;Lanchonetes, casas de chá, de sucos e similares
I;5612-1/00;Serviços ambulantes de alimentação
I;5620-1/01;Fornecimento de alimentos preparados preponderantemente para empresas
I;5620-1/02;Serviços de alimentação para eventos e recepções - bufê
I;5620-1/03;Cantinas - serviços de alimentação privativos
I;5620-1/04;Fornecimento de alimentos preparados preponderantemente para consumo domiciliar
J;5811-5/00;Edição de livros
J;5812-3/00;Edição de jornais
J;5813-1/00;Edição de revistas
J;5819-1/00;Edição de cadastros, listas e outros produtos gráficos
J;5821-2/00;Edição integrada à impressão de livros
J;5822-1/00;Edição integrada à impressão de jornais
J;5823-9/00;Edição integrada à impressão de revistas
J;5829-8/00;Edição integrada à impressão de cadastros, listas e outros produtos gráficos
J;5911-1/01;Estúdios cinematográficos
J;5911-1/02;Produção de filmes para publicidade
J;5911-1/99;Atividades de produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente
J;5912-0/01;Serviços de dublagem
J;5912-0/02;Serviços de mixagem sonora em produção audiovisual
J;5912-0/99;Atividades de pós-produção cinematográfica, de vídeos e de programas de televisão não especificadas anteriormente
J;5913-8/00;Distribuição cinematográfica, de vídeo e de programas de televisão
J;5914-6/00;Atividades de exibição cinematográfica
J;5920-1/00;Atividades de gravação de som e de edição de música
J;6010-1/00;Atividades de rádio
J;6021-7/00;Atividades de televisão aberta
J;6022-5/01;Programadoras
J;6022-5/02;Atividades relacionadas à televisão por assinatura, exceto programadoras
J;6110-8/01;Serviços de telefonia fixa comutada - STFC
J;6110-8/02;Serviços de redes de transporte de telecomunicações - SRTT
J;6110-8/03;Serviços de comunicação multimídia - SCM
J;6110-8/99;Serviços de telecomunicações por fio não especificados anteriormente
J;6120-5/01;Telefonia móvel celular
J;6120-5/02;Serviço móvel especializado - SME
J;6120-5/99;Serviços de telecomunicações sem fio não especificados anteriormente
J;6130-2/00;Telecomunicações por satélite
J;6141-8/00;Operadoras de televisão por assinatura por cabo
J;6142-6/00;Operadoras de televisão por assinatura por microondas
J;6143-4/00;Operadoras de televisão por assinatura por satélite
J;6190-6/01;Provedores de acesso às redes de comunicações
J;6190-6/02;Provedores de voz sobre protocolo internet - VOIP
J;6190-6/99;Outras atividades de telecomunicações não especificadas anteriormente
J;6201-5/00;Desenvolvimento de programas de computador sob encomenda
J;6202-3/00;Desenvolvimento e licenciamento de programas de computador customizáveis
J;6203-1/00;Desenvolvimento e licenciamento de programas de computador não-customizáveis
J;6204-0/00;Consultoria em tecnologia da informação
J;6209-1/00;Suporte técnico, manutenção e outros serviços em tecnologia da informação
J;6311-9/00;Tratamento de dados, provedores de serviços de aplicação e serviços de hospedagem na internet
J;6319-4/00;Portais, provedores de conteúdo e outros serviços de informação na internet
J;6391-7/00;Agências de notícias
J;6399-2/00;Outras atividades de prestação de serviços de informação não especificadas anteriormente
K;6410-7/00;Banco Central
K;6421-2/00;Bancos comerciais
K;6422-1/00;Bancos múltiplos, com carteira comercial
K;6423-9/00;Caixas econômicas
K;6424-7/01;Bancos cooperativos
K;6424-7/02;Cooperativas centrais de crédito
K;6424-7/03;Cooperativas de crédito mútuo
K;6424-7/04;Cooperativas de crédito rural
K;6431-0/00;Bancos múltiplos, sem carteira comercial
K;6432-8/00;Bancos de investimento
K;6433-6/00;Bancos de desenvolvimento
K;6434-4/00;Agências de fomento
K;6435-2/01;Sociedades de crédito imobiliário
K;6435-2/02;Associações de poupança e empréstimo
K;6435-2/03;Companhias hipotecárias
K;6436-1/00;Sociedades de crédito, financiamento e investimento - financeiras
K;6437-9/00;Sociedades de crédito ao microempreendedor
K;6438-7/01;Bancos de câmbio
K;6438-7/99;Outras instituições de intermediação não-monetária não especificadas anteriormente
K;6440-9/00;Arrendamento mercantil
K;6450-6/00;Sociedades de capitalização
K;6461-1/00;Holdings de instituições financeiras
K;6462-0/00;Holdings de instituições não-financeiras
K;6463-8/00;Outras sociedades de participação, exceto holdings
K;6470-1/01;Fundos de investimento, exceto previdenciários e imobiliários
K;6470-1/02;Fundos de investimento previdenciários
K;6470-1/03;Fundos de investimento imobiliários
K;6491-3/00;Sociedades de fomento mercantil - factoring
K;6492-1/00;Securitização de créditos
K;6493-0/00;Administração de consórcios para aquisição de bens e direitos
K;6499-9/01;Clubes de investimento
K;6499-9/02;Sociedades de investimento
K;6499-9/03;Fundo garantidor de crédito
K;6499-9/04;Caixas de financiamento de corporações
K;6499-9/05;Concessão de crédito pelas OSCIP
K;6499-9/99;Outras atividades de serviços financeiros não especificadas anteriormente
K;6511-1/01;Seguros de vida
K;6511-1/02;Planos de auxílio-funeral
K;6512-0/00;Seguros não-vida
K;6520-1/00;Seguros-saúde
K;6530-8/00;Resseguros
K;6541-3/00;Previdência complementar fechada
K;6542-1/00;Previdência complementar aberta
K;6550-2/00;Planos de saúde
K;6611-8/01;Bolsa de valores
K;6611-8/02;Bolsa de mercadorias
K;6611-8/03;Bolsa de mercadorias e futuros
K;6611-8/04;Administração de mercados de balcão organizados
K;6612-6/01;Corretoras de títulos e valores mobiliários
K;6612-6/02;Distribuidoras de títulos e valores mobiliários
K;6612-6/03;Corretoras de câmbio
K;6612-6/04;Corretoras de contratos de mercadorias
K;6612-6/05;Agentes de investimentos em aplicações financeiras
K;6613-4/00;Administração de cartões de crédito
K;6619-3/01;Serviços de liquidação e custódia
K;6619-3/02;Correspondentes de instituições financeiras
K;6619-3/03;Representações de bancos estrangeiros
K;6619-3/04;Caixas eletrônicos
K;6619-3/05;Operadoras de cartões de débito
K;6619-3/99;Outras atividades auxiliares dos serviços financeiros não especificadas anteriormente
K;6621-5/01;Peritos e avaliadores de seguros
K;6621-5/02;Auditoria e consultoria atuarial
K;6622-3/00;Corretores e agentes de seguros, de planos de previdência complementar e de saúde
K;6629-1/00;Atividades auxiliares dos seguros, da previdência complementar e dos planos de saúde não especificadas anteriormente
K;6630-4/00;Atividades de administração de fundos por contrato ou comissão
L;6810-2/01;Compra e venda de imóveis próprios
L;6810-2/02;Aluguel de imóveis próprios
L;6810-2/03;Loteamento de imóveis próprios
L;6821-8/01;Corretagem na compra e venda e avaliação de imóveis
L;6821-8/02;Corretagem no aluguel de imóveis
L;6822-6/00;Gestão e administração da propriedade imobiliária
M;6911-7/01;Serviços advocatícios
M;6911-7/02;Atividades auxiliares da justiça
M;6911-7/03;Agente de propriedade industrial
M;6912-5/00;Cartórios
M;6920-6/01;Atividades de contabilidade
M;6920-6/02;Atividades de consultoria e auditoria contábil e tributária
M;7020-4/00;Atividades de consultoria em gestão empresarial, exceto consultoria técnica específica
M;7111-1/00;Serviços de arquitetura
M;7112-0/00;Serviços de engenharia
M;7119-7/01;Serviços de cartografia, topografia e geodésia
M;7119-7/02;Atividades de estudos geológicos
M;7119-7/03;Serviços de desenho técnico relacionados à arquitetura e engenharia
M;7119-7/04;Serviços de perícia técnica relacionados à segurança do trabalho
M;7119-7/99;Atividades técnicas relacionadas à engenharia e arquitetura não especificadas anteriormente
M;7120-1/00;Testes e análises técnicas
M;7210-0/00;Pesquisa e desenvolvimento experimental em ciências físicas e naturais
M;7220-7/00;Pesquisa e desenvolvimento experimental em ciências sociais e humanas
M;7311-4/00;Agências de publicidade
M;7312-2/00;Agenciamento de espaços para publicidade, exceto em veículos de comunicação
M;7319-0/01;Criação de estandes para feiras e exposições
M;7319-0/02;Promoção de vendas
M;7319-0/03;Marketing direto
M;7319-0/04;Consultoria em publicidade
M;7319-0/99;Outras atividades de publicidade não especificadas anteriormente
M;7320-3/00;Pesquisas de mercado e de opinião pública
M;7410-2/01;Design
M;7410-2/02;Decoração de interiores
M;7420-0/01;Atividades de produção de fotografias, exceto aérea e submarina
M;7420-0/02;Atividades de produção de fotografias aéreas e submarinas
M;7420-0/03;Laboratórios fotográficos
M;7420-0/04;Filmagem de festas e eventos
M;7420-0/05;Serviços de microfilmagem
M;7490-1/01;Serviços de tradução, interpretação e similares
M;7490-1/02;Escafandria e mergulho
M;7490-1/03;Serviços de agronomia e de consultoria às atividades agrícolas e pecuárias
M;7490-1/04;Atividades de intermediação e agenciamento de serviços e negócios em geral, exceto imobiliários
M;7490-1/05;Agenciamento de profissionais para atividades esportivas, culturais e artísticas
M;7490-1/99;Outras atividades profissionais, científicas e técnicas não especificadas anteriormente
M;7500-1/00;Atividades veterinárias
N;7711-0/00;Locação de automóveis sem condutor
N;7719-5/01;Locação de embarcações sem tripulação, exceto para fins recreativos
N;7719-5/02;Locação de aeronaves sem tripulação
N;7719-5/99;Locação de outros meios de transporte não especificados anteriormente, sem condutor
N;7721-7/00;Aluguel de equipamentos recreativos e esportivos
N;7722-5/00;Aluguel de fitas de vídeo, DVDs e similares
N;7723-3/00;Aluguel de objetos do vestuário, jóias e acessórios
N;7729-2/01;Aluguel de aparelhos de jogos eletrônicos
N;7729-2/02;"Aluguel de móveis, utensílios e aparelhos de uso doméstico e pessoal; instrumentos musicais"
N;7729-2/03;Aluguel de material médico
N;7729-2/99;Aluguel de outros objetos pessoais e domésticos não especificados anteriormente
N;7731-4/00;Aluguel de máquinas e equipamentos agrícolas sem operador
N;7732-2/01;Aluguel de máquinas e equipamentos para construção sem operador, exceto andaimes
N;7732-2/02;Aluguel de andaimes
N;7733-1/00;Aluguel de máquinas e equipamentos para escritório
N;7739-0/01;Aluguel de máquinas e equipamentos para extração de minérios e petróleo, sem operador
N;7739-0/02;Aluguel de equipamentos científicos, médicos e hospitalares, sem operador
N;7739-0/03;Aluguel de palcos, coberturas e outras estruturas de uso temporário, exceto andaimes
N;7739-0/99;Aluguel de outras máquinas e equipamentos comerciais e industriais não especificados anteriormente, sem operador
N;7740-3/00;Gestão de ativos intangíveis não-financeiros
N;7810-8/00;Seleção e agenciamento de mão-de-obra
N;7820-5/00;Locação de mão-de-obra temporária
N;7830-2/00;Fornecimento e gestão de recursos humanos para terceiros
N;7911-2/00;Agências de viagens
N;7912-1/00;Operadores turísticos
N;7990-2/00;Serviços de reservas e outros serviços de turismo não especificados anteriormente
N;8011-1/01;Atividades de vigilância e segurança privada
N;8011-1/02;Serviços de adestramento de cães de guarda
N;8012-9/00;Atividades de transporte de valores
N;8020-0/00;Atividades de monitoramento de sistemas de segurança
N;8030-7/00;Atividades de investigação particular
N;8111-7/00;Serviços combinados para apoio a edifícios, exceto condomínios prediais
N;8112-5/00;Condomínios prediais
N;8121-4/00;Limpeza em prédios e em domicílios
N;8122-2/00;Imunização e controle de pragas urbanas
N;8129-0/00;Atividades de limpeza não especificadas anteriormente
N;8130-3/00;Atividades paisagísticas
N;8211-3/00;Serviços combinados de escritório e apoio administrativo
N;8219-9/01;Fotocópias
N;8219-9/99;Preparação de documentos e serviços especializados de apoio administrativo não especificados anteriormente
N;8220-2/00;Atividades de teleatendimento
N;8230-0/01;Serviços de organização de feiras, congressos, exposições e festas
N;8230-0/02;Casas de festas e eventos
N;8291-1/00;Atividades de cobrança e informações cadastrais
N;8292-0/00;Envasamento e empacotamento sob contrato
N;8299-7/01;Medição de consumo de energia elétrica, gás e água
N;8299-7/02;Emissão de vales-alimentação, vales-transporte e similares
N;8299-7/03;Serviços de gravação de carimbos, exceto confecção
N;8299-7/04;Leiloeiros independentes
N;8299-7/05;Serviços de levantamento de fundos sob contrato
N;8299-7/06;Casas lotéricas
N;8299-7/07;Salas de acesso à internet
N;8299-7/99;Outras atividades de serviços prestados principalmente às empresas não especificadas anteriormente
O;8411-6/00;Administração pública em geral
O;8412-4/00;Regulação das atividades de saúde, educação, serviços culturais e outros serviços sociais
O;8413-2/00;Regulação das atividades econômicas
O;8421-3/00;Relações exteriores
O;8422-1/00;Defesa
O;8423-0/00;Justiça
O;8424-8/00;Segurança e ordem pública
O;8425-6/00;Defesa Civil
O;8430-2/00;Seguridade social obrigatória
P;8511-2/00;Educação infantil - creche
P;8512-1/00;Educação infantil - pré-escola
P;8513-9/00;Ensino fundamental
P;8520-1/00;Ensino médio
P;8531-7/00;Educação superior - graduação
P;8532-5/00;Educação superior - graduação e pós-graduação
P;8533-3/00;Educação superior - pós-graduação e extensão
P;8541-4/00;Educação profissional de nível técnico
P;8542-2/00;Educação profissional de nível tecnológico
P;8550-3/01;Administração de caixas escolares
P;8550-3/02;Atividades de apoio à educação, exceto caixas escolares
P;8591-1/00;Ensino de esportes
P;8592-9/01;Ensino de dança
P;8592-9/02;Ensino de artes cênicas, exceto dança
P;8592-9/03;Ensino de música
P;8592-9/99;Ensino de arte e cultura não especificado anteriormente
P;8593-7/00;Ensino de idiomas
P;8599-6/01;Formação de condutores
P;8599-6/02;Cursos de pilotagem
P;8599-6/03;Treinamento em informática
P;8599-6/04;Treinamento em desenvolvimento profissional e gerencial
P;8599-6/05;Cursos preparatórios para concursos
P;8599-6/99;Outras atividades de ensino não especificadas anteriormente
Q;8610-1/01;Atividades de atendimento hospitalar, exceto pronto-socorro e unidades para atendimento a urgências
Q;8610-1/02;Atividades de atendimento em pronto-socorro e unidades hospitalares para atendimento a urgências
Q;8621-6/01;UTI móvel
Q;8621-6/02;Serviços móveis de atendimento a urgências, exceto por UTI móvel
Q;8622-4/00;Serviços de remoção de pacientes, exceto os serviços móveis de atendimento a urgências
Q;8630-5/01;Atividade médica ambulatorial com recursos para realização de procedimentos cirúrgicos
Q;8630-5/02;Atividade médica ambulatorial com recursos para realização de exames complementares
Q;8630-5/03;Atividade médica ambulatorial restrita a consultas
Q;8630-5/04;Atividade odontológica
Q;8630-5/06;Serviços de vacinação e imunização humana
Q;8630-5/07;Atividades de reprodução humana assistida
Q;8630-5/99;Atividades de atenção ambulatorial não especificadas anteriormente
Q;8640-2/01;Laboratórios de anatomia patológica e citológica
Q;8640-2/02;Laboratórios clínicos
Q;8640-2/03;Serviços de diálise e nefrologia
Q;8640-2/04;Serviços de tomografia
Q;8640-2/05;Serviços de diagnóstico por imagem com uso de radiação ionizante, exceto tomografia
Q;8640-2/06;Serviços de ressonância magnética
Q;8640-2/07;Serviços de diagnóstico por imagem sem uso de radiação ionizante, exceto ressonância magnética
Q;8640-2/08;Serviços de diagnóstico por registro gráfico - ECG, EEG e outros exames análogos
Q;8640-2/09;Serviços de diagnóstico por métodos ópticos - endoscopia e outros exames análogos
Q;8640-2/10;Serviços de quimioterapia
Q;8640-2/11;Serviços de radioterapia
Q;8640-2/12;Serviços de hemoterapia
Q;8640-2/13;Serviços de litotripsia
Q;8640-2/14;Serviços de bancos de células e tecidos humanos
Q;8640-2/99;Atividades de serviços de complementação diagnóstica e terapêutica não especificadas anteriormente
Q;8650-0/01;Atividades de enfermagem
Q;8650-0/02;Atividades de profissionais da nutrição
Q;8650-0/03;Atividades de psicologia e psicanálise
Q;8650-0/04;Atividades de fisioterapia
Q;8650-0/05;Atividades de terapia ocupacional
Q;8650-0/06;Atividades de fonoaudiologia
Q;8650-0/07;Atividades de terapia de nutrição enteral e parenteral
Q;8650-0/99;Atividades de profissionais da área de saúde não especificadas anteriormente
Q;8660-7/00;Atividades de apoio à gestão de saúde
Q;8690-9/01;Atividades de práticas integrativas e complementares em saúde humana
Q;8690-9/02;Atividades de bancos de leite humano
Q;8690-9/03;Atividades de acupuntura
Q;8690-9/04;Atividades de podologia
Q;8690-9/99;Outras atividades de atenção à saúde humana não especificadas anteriormente
Q;8711-5/01;Clínicas e residências geriátricas
Q;8711-5/02;Instituições de longa permanência para idosos
Q;8711-5/03;Atividades de assistência a deficientes físicos, imunodeprimidos e convalescentes
Q;8711-5/04;Centros de apoio a pacientes com câncer e com AIDS
Q;8711-5/05;Condomínios residenciais para idosos
Q;8712-3/00;Atividades de fornecimento de infra-estrutura de apoio e assistência a paciente no domicílio
Q;8720-4/01;Atividades de centros de assistência psicossocial
Q;8720-4/99;Atividades de assistência psicossocial e à saúde a portadores de distúrbios psíquicos, deficiência mental e dependência química não especificadas anteriormente
Q;8730-1/01;Orfanatos
Q;8730-1/02;Albergues assistenciais
Q;8730-1/99;Atividades de assistência social prestadas em residências coletivas e particulares não especificadas anteriormente
Q;8800-6/00;Serviços de assistência social sem alojamento
R;9001-9/01;Produção teatral
R;9001-9/02;Produção musical
R;9001-9/03;Produção de espetáculos de dança
R;9001-9/04;Produção de espetáculos circenses, de marionetes e similares
R;9001-9/05;Produção de espetáculos de rodeios, vaquejadas e similares
R;9001-9/06;Atividades de sonorização e de iluminação
R;9001-9/99;Artes cênicas, espetáculos e atividades complementares não especificados anteriormente
R;9002-7/01;Atividades de artistas plásticos, jornalistas independentes e escritores
R;9002-7/02;Restauração de obras de arte
R;9003-5/00;Gestão de espaços para artes cênicas, espetáculos e outras atividades artísticas
R;9101-5/00;Atividades de bibliotecas e arquivos
R;9102-3/01;Atividades de museus e de exploração de lugares e prédios históricos e atrações similares
R;9102-3/02;Restauração e conservação de lugares e prédios históricos
R;9103-1/00;Atividades de jardins botânicos, zoológicos, parques nacionais, reservas ecológicas e áreas de proteção ambiental
R;9200-3/01;Casas de bingo
R;9200-3/02;Exploração de apostas em corridas de cavalos
R;9200-3/99;Exploração de jogos de azar e apostas não especificados anteriormente
R;9311-5/00;Gestão de instalações de esportes
R;9312-3/00;Clubes sociais, esportivos e similares
R;9313-1/00;Atividades de condicionamento físico
R;9319-1/01;Produção e promoção de eventos esportivos
R;9319-1/99;Outras atividades esportivas não especificadas anteriormente
R;9321-2/00;Parques de diversão e parques temáticos
R;9329-8/01;Discotecas, danceterias, salões de dança e similares
R;9329-8/02;Exploração de boliches
R;9329-8/03;Exploração de jogos de sinuca, bilhar e similares
R;9329-8/04;Exploração de jogos eletrônicos recreativos
R;9329-8/99;Outras atividades de recreação e lazer não especificadas anteriormente
S;9411-1/00;Atividades de organizações associativas patronais e empresariais
S;9412-0/00;Atividades de organizações associativas profissionais
S;9420-1/00;Atividades de organizações sindicais
S;9430-8/00;Atividades de associações de defesa de direitos sociais
S;9491-0/00;Atividades de organizações religiosas
S;9492-8/00;Atividades de organizações políticas
S;9493-6/00;Atividades de organizações associativas ligadas à cultura e à arte
S;9499-5/00;Atividades associativas não especificadas anteriormente
S;9511-8/00;Reparação e manutenção de computadores e de equipamentos periféricos
S;9512-6/00;Reparação e manutenção de equipamentos de comunicação
S;9521-5/00;Reparação e manutenção de equipamentos eletroeletrônicos de uso pessoal e doméstico
S;9529-1/01;Reparação de calçados, bolsas e artigos de viagem
S;9529-1/02;Chaveiros
S;9529-1/03;Reparação de relógios
S;9529-1/04;Reparação de bicicletas, triciclos e outros veículos não-motorizados
S;9529-1/05;Reparação de artigos do mobiliário
S;9529-1/06;Reparação de jóias
S;9529-1/99;Reparação e manutenção de outros objetos e equipamentos pessoais e domésticos não especificados anteriormente
S;9601-7/01;Lavanderias
S;9601-7/02;Tinturarias
S;9601-7/03;Toalheiros
S;9602-5/01;Cabeleireiros
S;9602-5/02;Atividades de estética e outros serviços de cuidados com a beleza
S;9603-3/01;Gestão e manutenção de cemitérios
S;9603-3/02;Serviços de cremação
S;9603-3/03;Serviços de sepultamento
S;9603-3/04;Serviços de funerárias
S;9603-3/05;Serviços de somatoconservação
S;9603-3/99;Atividades funerárias e serviços relacionados não especificados anteriormente
S;9609-2/02;Agências matrimoniais
S;9609-2/03;Alojamento, higiene e embelezamento de animais
S;9609-2/04;Exploração de máquinas de serviços pessoais acionadas por moeda
S;9609-2/05;Atividades de sauna e banhos
S;9609-2/06;Serviços de tatuagem e colocação de piercing
S;9609-2/99;Outras atividades de serviços pessoais não especificadas anteriormente
T;9700-5/00;Serviços domésticos
U;9900-8/00;Organismos internacionais e outras instituições extraterritoriais
